team,rating,date
Norrköping,30.6,2022-04-12 04:30:46.841847
Como,30.5,2022-04-12 04:30:46.841847
Giannina,30.5,2022-04-12 04:30:46.841847
Consa,30.4,2022-04-12 04:30:46.841847
Oxford United,30.2,2022-04-12 04:30:46.841847
Ionikos,30.1,2022-04-12 04:30:46.841847
Wigan,30.1,2022-04-12 04:30:46.841847
Ibiza,30.0,2022-04-12 04:30:46.841847
Houston,29.7,2022-04-12 04:30:46.841847
Sydney FC,29.6,2022-04-12 04:30:46.841847
Sporting Gijón,29.5,2022-04-12 04:30:46.841847
Charlotte FC,29.3,2022-04-12 04:30:46.841847
Pau,29.2,2022-04-12 04:30:46.841847
Strømsgodset,29.2,2022-04-12 04:30:46.841847
Lugo,29.1,2022-04-12 04:30:46.841847
HJK Helsinki,29.1,2022-04-12 04:30:46.841847
Aalesund,29.0,2022-04-12 04:30:46.841847
Göztepe,28.9,2022-04-12 04:30:46.841847
Arsenal Tula,28.9,2022-04-12 04:30:46.841847
Maccabi Haifa,28.8,2022-04-12 04:30:46.841847
Avispa Fukuoka,28.8,2022-04-12 04:30:46.841847
Mjällby,28.8,2022-04-12 04:30:46.841847
Inter Miami,28.7,2022-04-12 04:30:46.841847
Bastia,28.6,2022-04-12 04:30:46.841847
Zulte Waregem,28.6,2022-04-12 04:30:46.841847
Volos,28.5,2022-04-12 04:30:46.841847
Sarpsborg,28.5,2022-04-12 04:30:46.841847
Rizespor,28.4,2022-04-12 04:30:46.841847
Burgos,28.0,2022-04-12 04:30:46.841847
Sunderland,27.8,2022-04-12 04:30:46.841847
Odd,27.7,2022-04-12 04:30:46.841847
Alcorcón,27.6,2022-04-12 04:30:46.841847
Arsenal,27.4,2022-04-12 04:30:46.841847
Shimizu S-Pulse,27.4,2022-04-12 04:30:46.841847
FC Cincinnati,27.4,2022-04-12 04:30:46.841847
San Antonio,27.4,2022-04-12 04:30:46.841847
Rotherham,27.4,2022-04-12 04:30:46.841847
SV Sandhausen,27.3,2022-04-12 04:30:46.841847
Atlético,27.1,2022-04-12 04:30:46.841847
Kaizer Chiefs,27.1,2022-04-12 04:30:46.841847
Altay,27.0,2022-04-12 04:30:46.841847
Amorebieta,27.0,2022-04-12 04:30:46.841847
Phoenix Rising,26.7,2022-04-12 04:30:46.841847
Wycombe,26.7,2022-04-12 04:30:46.841847
Plymouth Argyle,26.6,2022-04-12 04:30:46.841847
Le Havre,26.6,2022-04-12 04:30:46.841847
Dynamo Dresden,26.6,2022-04-12 04:30:46.841847
Eupen,26.5,2022-04-12 04:30:46.841847
Ipswich Town,26.5,2022-04-12 04:30:46.841847
Niort,26.4,2022-04-12 04:30:46.841847
St Mirren,26.4,2022-04-12 04:30:46.841847
Haugesund,26.4,2022-04-12 04:30:46.841847
Bolton,26.4,2022-04-12 04:30:46.841847
Kalmar,26.4,2022-04-12 04:30:46.841847
Beerschot,26.3,2022-04-12 04:30:46.841847
Kristiansund,26.2,2022-04-12 04:30:46.841847
St Johnstone,26.2,2022-04-12 04:30:46.841847
Kyoto Purple Sanga,26.0,2022-04-12 04:30:46.841847
Atromitos,25.8,2022-04-12 04:30:46.841847
Dundee,25.8,2022-04-12 04:30:46.841847
SPAL,25.6,2022-04-12 04:30:46.841847
Peterborough,25.5,2022-04-12 04:30:46.841847
Ponferradina,25.4,2022-04-12 04:30:46.841847
Newcastle Jets,25.3,2022-04-12 04:30:46.841847
Lausanne-Sport,25.3,2022-04-12 04:30:46.841847
Melbourne Vic,25.3,2022-04-12 04:30:46.841847
Vejle,25.2,2022-04-12 04:30:46.841847
Portsmouth,25.2,2022-04-12 04:30:46.841847
Rheindorf Altach,25.1,2022-04-12 04:30:46.841847
Reggina,24.8,2022-04-12 04:30:46.841847
Panetolikos,24.7,2022-04-12 04:30:46.841847
Crotone,24.5,2022-04-12 04:30:46.841847
Real Sociedad B,24.4,2022-04-12 04:30:46.841847
Aldosivi,24.4,2022-04-12 04:30:46.841847
Ingolstadt,24.3,2022-04-12 04:30:46.841847
SønderjyskE,24.3,2022-04-12 04:30:46.841847
Valenciennes,24.2,2022-04-12 04:30:46.841847
Tampa Bay,24.2,2022-04-12 04:30:46.841847
Júbilo Iwata,24.2,2022-04-12 04:30:46.841847
Sandefjord,24.0,2022-04-12 04:30:46.841847
San Diego Loyal,23.5,2022-04-12 04:30:46.841847
Málaga,23.3,2022-04-12 04:30:46.841847
Tianjin Teda,23.1,2022-04-12 04:30:46.841847
Louisville City,23.1,2022-04-12 04:30:46.841847
Fuenlabrada,22.8,2022-04-12 04:30:46.841847
Y. Malatyaspor,22.6,2022-04-12 04:30:46.841847
Sirius,22.6,2022-04-12 04:30:46.841847
Tromsø,22.6,2022-04-12 04:30:46.841847
Grenoble,22.6,2022-04-12 04:30:46.841847
Orlando Pirates,22.3,2022-04-12 04:30:46.841847
